2000-01-03 | Bull | 102.9 / 3.4% | HEAD 3% | TAIL 33% | B/ATR nan
2009-01-16 | Bull | 15.02 / 1.5% | HEAD 18% | TAIL 214% | B/ATR 0.2
2009-01-20 | Bear | 14.41 / -3.2% | HEAD 44% | TAIL 15% | B/ATR 0.4
2009-01-21 | Bear | 14.56 / -0.1% | HEAD 1500% | TAIL 6400% | B/ATR 0.0
2009-01-22 | Bull | 14.36 / 2.0% | HEAD 86% | TAIL 57% | B/ATR 0.3
2009-01-23 | Bull | 14.99 / 5.9% | HEAD 39% | TAIL 27% | B/ATR 0.8
2009-01-26 | Bull | 14.77 / 0.1% | HEAD 6402% | TAIL 3110% | B/ATR 0.0
2009-01-27 | Bear | 15.31 / -2.5% | HEAD 46% | TAIL 44% | B/ATR 0.4
2009-01-28 | Bull | 15.56 / 0.6% | HEAD 170% | TAIL 300% | B/ATR 0.1
2009-01-29 | Bear | 14.95 / -3.6% | HEAD 0% | TAIL 25% | B/ATR 0.5
2009-01-30 | Bear | 14.95 / -0.5% | HEAD 275% | TAIL 550% | B/ATR 0.1
2009-02-02 | Bull | 15.69 / 5.9% | HEAD 24% | TAIL 18% | B/ATR 0.9
2009-02-03 | Bull | 16.02 / 1.1% | HEAD 135% | TAIL 229% | B/ATR 0.2
2009-02-04 | Bull | 16.45 / 2.7% | HEAD 156% | TAIL 23% | B/ATR 0.4
2009-02-05 | Bull | 16.84 / 4.0% | HEAD 45% | TAIL 14% | B/ATR 0.6
2009-02-06 | Bull | 17.38 / 3.2% | HEAD 30% | TAIL 20% | B/ATR 0.5
2009-02-09 | Bear | 17.3 / -0.3% | HEAD 320% | TAIL 520% | B/ATR 0.0
2009-02-10 | Bear | 16.52 / -3.4% | HEAD 67% | TAIL 26% | B/ATR 0.6
2009-02-11 | Bear | 16.23 / -2.0% | HEAD 70% | TAIL 111% | B/ATR 0.3
2009-02-12 | Bull | 16.39 / 2.7% | HEAD 40% | TAIL 51% | B/ATR 0.4
2009-02-13 | Bull | 16.95 / 2.7% | HEAD 82% | TAIL 2% | B/ATR 0.5
2009-02-17 | Bear | 15.77 / -3.8% | HEAD 16% | TAIL 8% | B/ATR 0.6
2009-02-18 | Bear | 15.85 / -0.3% | HEAD 500% | TAIL 760% | B/ATR 0.1
2009-02-19 | Bear | 14.96 / -6.2% | HEAD 4% | TAIL 16% | B/ATR 1.0
2009-02-20 | Bull | 15.04 / 2.2% | HEAD 94% | TAIL 69% | B/ATR 0.3
2009-02-23 | Bear | 14.69 / -3.4% | HEAD 13% | TAIL 17% | B/ATR 0.5
2009-02-24 | Bull | 15.29 / 3.6% | HEAD 28% | TAIL 4% | B/ATR 0.5
2009-02-25 | Bull | 15.36 / 1.1% | HEAD 212% | TAIL 194% | B/ATR 0.2
2009-02-26 | Bear | 14.64 / -5.4% | HEAD 52% | TAIL 13% | B/ATR 0.8
2009-02-27 | Bear | 14.35 / -1.0% | HEAD 179% | TAIL 129% | B/ATR 0.1
2009-03-02 | Bear | 13.77 / -2.3% | HEAD 133% | TAIL 21% | B/ATR 0.3
2009-03-03 | Bull | 14.2 / 2.1% | HEAD 131% | TAIL 55% | B/ATR 0.3
2009-03-04 | Bull | 14.85 / 3.1% | HEAD 60% | TAIL 22% | B/ATR 0.5
2009-03-05 | Bull | 14.9 / 2.5% | HEAD 117% | TAIL 36% | B/ATR 0.4
2009-03-06 | Bear | 14.71 / -2.2% | HEAD 85% | TAIL 167% | B/ATR 0.3
2009-03-09 | Bull | 14.69 / 0.9% | HEAD 377% | TAIL 15% | B/ATR 0.1
2009-03-10 | Bull | 15.66 / 4.4% | HEAD 20% | TAIL 27% | B/ATR 0.7
2009-03-11 | Bear | 15.71 / -0.1% | HEAD 850% | TAIL 1750% | B/ATR 0.0
2009-03-12 | Bull | 15.94 / 1.7% | HEAD 15% | TAIL 131% | B/ATR 0.3
2009-03-13 | Bull | 16.21 / 1.2% | HEAD 45% | TAIL 105% | B/ATR 0.2
2009-03-16 | Bear | 15.71 / -3.6% | HEAD 31% | TAIL 12% | B/ATR 0.6
2009-03-17 | Bull | 16.45 / 4.6% | HEAD 1% | TAIL 22% | B/ATR 0.7
2009-03-18 | Bull | 16.88 / 3.1% | HEAD 44% | TAIL 20% | B/ATR 0.5
2009-03-19 | Bear | 16.6 / -2.4% | HEAD 39% | TAIL 44% | B/ATR 0.4
2009-03-20 | Bear | 15.78 / -4.9% | HEAD 9% | TAIL 17% | B/ATR 0.9
2009-03-23 | Bull | 17.01 / 4.4% | HEAD 0% | TAIL 56% | B/ATR 0.7
2009-03-24 | Bear | 16.65 / -1.4% | HEAD 83% | TAIL 62% | B/ATR 0.3
2009-03-25 | Bear | 16.43 / -1.8% | HEAD 140% | TAIL 103% | B/ATR 0.3
2009-03-26 | Bull | 17.36 / 4.1% | HEAD 7% | TAIL 23% | B/ATR 0.7
2009-03-27 | Bear | 17.12 / -0.3% | HEAD 750% | TAIL 225% | B/ATR 0.1
2009-03-30 | Bear | 16.42 / -2.0% | HEAD 52% | TAIL 45% | B/ATR 0.3
2009-03-31 | Bear | 16.51 / -0.8% | HEAD 131% | TAIL 115% | B/ATR 0.1
2009-04-01 | Bull | 16.25 / 0.1% | HEAD 1450% | TAIL 1150% | B/ATR 0.0
2009-04-02 | Bull | 16.47 / 2.2% | HEAD 117% | TAIL 14% | B/ATR 0.4
2009-04-03 | Bull | 16.96 / 2.7% | HEAD 5% | TAIL 61% | B/ATR 0.5
2009-04-06 | Bear | 16.51 / -1.6% | HEAD 4% | TAIL 108% | B/ATR 0.3
2009-04-07 | Bull | 16.36 / 0.3% | HEAD 840% | TAIL 420% | B/ATR 0.1
2009-04-08 | Bull | 16.79 / 0.6% | HEAD 200% | TAIL 440% | B/ATR 0.1
2009-04-09 | Bull | 17.24 / 0.8% | HEAD 100% | TAIL 107% | B/ATR 0.2
2009-04-13 | Bull | 17.17 / 0.2% | HEAD 367% | TAIL 1300% | B/ATR 0.0
2009-04-14 | Bull | 17.33 / 2.1% | HEAD 75% | TAIL 8% | B/ATR 0.4
2009-04-15 | Bull | 17.01 / 1.4% | HEAD 75% | TAIL 83% | B/ATR 0.3
2009-04-16 | Bull | 17.8 / 2.3% | HEAD 17% | TAIL 37% | B/ATR 0.4
2009-04-17 | Bull | 17.97 / 1.0% | HEAD 88% | TAIL 200% | B/ATR 0.2
2009-04-20 | Bear | 17.32 / -2.4% | HEAD 12% | TAIL 57% | B/ATR 0.5
2009-04-21 | Bear | 17.11 / -3.1% | HEAD 37% | TAIL 93% | B/ATR 0.6
2009-04-22 | Bull | 17.65 / 4.3% | HEAD 86% | TAIL 28% | B/ATR 0.8
2009-04-23 | Bear | 17.34 / -2.5% | HEAD 0% | TAIL 120% | B/ATR 0.5
2009-04-24 | Bull | 17.88 / 2.2% | HEAD 31% | TAIL 77% | B/ATR 0.4
2009-04-27 | Bear | 17.47 / -0.9% | HEAD 244% | TAIL 162% | B/ATR 0.2
2009-04-28 | Bear | 17.0 / -0.9% | HEAD 181% | TAIL 25% | B/ATR 0.2
2009-04-29 | Bull | 17.38 / 1.3% | HEAD 130% | TAIL 63% | B/ATR 0.3
2009-04-30 | Bull | 18.06 / 2.8% | HEAD 102% | TAIL 12% | B/ATR 0.6
2009-05-01 | Bear | 17.95 / -0.7% | HEAD 31% | TAIL 308% | B/ATR 0.1
2009-05-04 | Bull | 18.36 / 1.7% | HEAD 100% | TAIL 30% | B/ATR 0.3
2009-05-05 | Bear | 17.86 / -2.6% | HEAD 0% | TAIL 26% | B/ATR 0.5
2009-05-06 | Bull | 18.31 / 2.0% | HEAD 88% | TAIL 83% | B/ATR 0.4
2009-05-07 | Bear | 17.58 / -5.4% | HEAD 0% | TAIL 28% | B/ATR 1.1
2009-05-08 | Bear | 17.3 / -2.0% | HEAD 37% | TAIL 134% | B/ATR 0.4
2009-05-11 | Bull | 17.26 / 0.5% | HEAD 325% | TAIL 437% | B/ATR 0.1
2009-05-12 | Bull | 16.83 / 0.4% | HEAD 933% | TAIL 333% | B/ATR 0.1
2009-05-13 | Bull | 17.07 / 1.9% | HEAD 48% | TAIL 6% | B/ATR 0.4
2009-05-14 | Bull | 17.54 / 2.3% | HEAD 26% | TAIL 26% | B/ATR 0.4
2009-05-15 | Bull | 17.63 / 0.6% | HEAD 170% | TAIL 230% | B/ATR 0.1
2009-05-18 | Bull | 17.9 / 0.7% | HEAD 25% | TAIL 217% | B/ATR 0.1
2009-05-19 | Bull | 18.08 / 1.6% | HEAD 79% | TAIL 60% | B/ATR 0.3
2009-05-20 | Bear | 18.4 / -0.8% | HEAD 257% | TAIL 57% | B/ATR 0.2
2009-05-21 | Bear | 17.96 / -1.3% | HEAD 58% | TAIL 179% | B/ATR 0.3
2009-05-22 | Bull | 18.5 / 2.8% | HEAD 52% | TAIL 8% | B/ATR 0.6
2009-05-26 | Bull | 19.0 / 3.5% | HEAD 0% | TAIL 20% | B/ATR 0.7
2009-05-27 | Bull | 18.98 / 3.7% | HEAD 76% | TAIL 0% | B/ATR 0.8
2009-05-28 | Bull | 19.27 / 1.2% | HEAD 13% | TAIL 196% | B/ATR 0.3
2009-05-29 | Bull | 19.4 / 0.5% | HEAD 80% | TAIL 430% | B/ATR 0.1
2009-06-01 | Bull | 20.36 / 4.4% | HEAD 22% | TAIL 1% | B/ATR 1.0
2009-06-02 | Bear | 20.09 / -0.3% | HEAD 500% | TAIL 314% | B/ATR 0.1
2009-06-03 | Bull | 20.05 / 2.0% | HEAD 5% | TAIL 20% | B/ATR 0.5
2009-06-04 | Bear | 20.08 / -0.1% | HEAD 967% | TAIL 1100% | B/ATR 0.0
2009-06-05 | Bear | 19.68 / -2.6% | HEAD 42% | TAIL 25% | B/ATR 0.6
2009-06-08 | Bull | 19.77 / 0.3% | HEAD 440% | TAIL 580% | B/ATR 0.1
2009-06-09 | Bear | 21.02 / -0.7% | HEAD 79% | TAIL 314% | B/ATR 0.2
2009-06-10 | Bear | 20.96 / -0.8% | HEAD 41% | TAIL 271% | B/ATR 0.2
2009-06-11 | Bear | 20.84 / -0.3% | HEAD 557% | TAIL 200% | B/ATR 0.1
2009-06-12 | Bull | 20.79 / 0.1% | HEAD 103% | TAIL 2850% | B/ATR 0.0
2009-06-15 | Bull | 21.13 / 2.1% | HEAD 23% | TAIL 35% | B/ATR 0.5
2009-06-16 | Bear | 20.73 / -2.5% | HEAD 0% | TAIL 11% | B/ATR 0.6
2009-06-17 | Bull | 21.41 / 1.3% | HEAD 115% | TAIL 115% | B/ATR 0.3
2009-06-18 | Bear | 21.33 / -0.3% | HEAD 171% | TAIL 364% | B/ATR 0.1
2009-06-19 | Bull | 21.66 / 0.5% | HEAD 73% | TAIL 345% | B/ATR 0.1
2009-06-22 | Bear | 20.97 / -2.1% | HEAD 91% | TAIL 26% | B/ATR 0.5
2009-06-23 | Bear | 20.61 / -0.9% | HEAD 132% | TAIL 53% | B/ATR 0.2
2009-06-24 | Bull | 20.98 / 1.0% | HEAD 148% | TAIL 33% | B/ATR 0.2
2009-06-25 | Bull | 21.35 / 1.9% | HEAD 23% | TAIL 18% | B/ATR 0.5
2009-06-26 | Bull | 21.45 / 1.4% | HEAD 103% | TAIL 3% | B/ATR 0.4
2009-06-29 | Bear | 21.3 / -0.3% | HEAD 400% | TAIL 129% | B/ATR 0.1
2009-06-30 | Bear | 21.3 / -0.1% | HEAD 1333% | TAIL 3667% | B/ATR 0.0
2009-07-01 | Bull | 21.6 / 1.1% | HEAD 130% | TAIL 0% | B/ATR 0.3
2009-07-02 | Bull | 21.36 / 0.1% | HEAD 533% | TAIL 367% | B/ATR 0.0
2009-07-06 | Bull | 21.4 / 0.8% | HEAD 100% | TAIL 156% | B/ATR 0.2
2009-07-07 | Bear | 20.77 / -2.4% | HEAD 85% | TAIL 21% | B/ATR 0.6
2009-07-08 | Bear | 20.42 / -1.6% | HEAD 21% | TAIL 91% | B/ATR 0.4
2009-07-09 | Bear | 20.44 / -0.2% | HEAD 740% | TAIL 100% | B/ATR 0.1
2009-07-10 | Bull | 20.45 / 0.3% | HEAD 583% | TAIL 83% | B/ATR 0.1
2009-07-13 | Bull | 20.85 / 1.4% | HEAD 18% | TAIL 139% | B/ATR 0.3
2009-07-14 | Bull | 21.1 / 0.7% | HEAD 50% | TAIL 136% | B/ATR 0.2
2009-07-15 | Bull | 21.89 / 1.2% | HEAD 19% | TAIL 41% | B/ATR 0.3
2009-07-16 | Bull | 22.34 / 3.2% | HEAD 16% | TAIL 0% | B/ATR 0.8
2009-07-17 | Bull | 23.01 / 2.6% | HEAD 9% | TAIL 57% | B/ATR 0.7
2009-07-20 | Bull | 23.61 / 1.8% | HEAD 5% | TAIL 52% | B/ATR 0.5
2009-07-21 | Bear | 23.07 / -0.4% | HEAD 133% | TAIL 622% | B/ATR 0.1
2009-07-22 | Bull | 23.31 / 1.0% | HEAD 86% | TAIL 95% | B/ATR 0.3
2009-07-23 | Bull | 23.82 / 2.2% | HEAD 21% | TAIL 60% | B/ATR 0.6
2009-07-24 | Bull | 24.09 / 2.4% | HEAD 7% | TAIL 27% | B/ATR 0.7
2009-07-27 | Bear | 24.01 / -0.3% | HEAD 129% | TAIL 486% | B/ATR 0.1
2009-07-28 | Bull | 24.01 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2009-07-29 | Bull | 24.14 / 0.8% | HEAD 47% | TAIL 174% | B/ATR 0.2
2009-07-30 | Bear | 24.15 / -0.9% | HEAD 191% | TAIL 22% | B/ATR 0.3
2009-07-31 | Bear | 24.05 / -0.3% | HEAD 486% | TAIL 157% | B/ATR 0.1
2009-08-03 | Bull | 24.37 / 0.2% | HEAD 40% | TAIL 660% | B/ATR 0.1
2009-08-04 | Bull | 24.6 / 1.7% | HEAD 33% | TAIL 10% | B/ATR 0.5
2009-08-05 | Bear | 24.38 / -0.9% | HEAD 76% | TAIL 90% | B/ATR 0.3
2009-08-06 | Bear | 24.3 / -0.6% | HEAD 193% | TAIL 107% | B/ATR 0.2
2009-08-07 | Bear | 24.1 / -1.9% | HEAD 41% | TAIL 2% | B/ATR 0.6
2009-08-10 | Bear | 23.65 / -1.3% | HEAD 56% | TAIL 50% | B/ATR 0.4
2009-08-11 | Bull | 23.64 / 0.1% | HEAD 833% | TAIL 567% | B/ATR 0.0
2009-08-12 | Bull | 23.88 / 1.2% | HEAD 66% | TAIL 24% | B/ATR 0.4
2009-08-13 | Bull | 24.54 / 1.5% | HEAD 6% | TAIL 64% | B/ATR 0.5
2009-08-14 | Bear | 23.96 / -1.5% | HEAD 36% | TAIL 78% | B/ATR 0.5
2009-08-17 | Bear | 23.34 / -0.7% | HEAD 106% | TAIL 44% | B/ATR 0.2
2009-08-18 | Bull | 23.84 / 1.8% | HEAD 21% | TAIL 15% | B/ATR 0.6
2009-08-19 | Bull | 23.98 / 2.0% | HEAD 17% | TAIL 19% | B/ATR 0.6
2009-08-20 | Bull | 24.11 / 0.6% | HEAD 43% | TAIL 93% | B/ATR 0.2
2009-08-21 | Bull | 24.54 / 1.5% | HEAD 14% | TAIL 73% | B/ATR 0.5
2009-08-24 | Bear | 24.2 / -1.7% | HEAD 58% | TAIL 12% | B/ATR 0.6
2009-08-25 | Bull | 24.38 / 0.5% | HEAD 100% | TAIL 123% | B/ATR 0.2
2009-08-26 | Bull | 24.46 / 0.1% | HEAD 700% | TAIL 898% | B/ATR 0.0
2009-08-27 | Bull | 24.52 / 0.1% | HEAD 133% | TAIL 1433% | B/ATR 0.0
2009-08-28 | Bull | 24.97 / 0.5% | HEAD 300% | TAIL 50% | B/ATR 0.2
2009-08-31 | Bear | 24.59 / -0.9% | HEAD 35% | TAIL 100% | B/ATR 0.3
2009-09-01 | Bear | 24.31 / -1.0% | HEAD 236% | TAIL 40% | B/ATR 0.3
2009-09-02 | Bear | 24.09 / -0.5% | HEAD 175% | TAIL 33% | B/ATR 0.2
2009-09-03 | Bull | 24.32 / 0.5% | HEAD 31% | TAIL 138% | B/ATR 0.2
2009-09-04 | Bull | 24.86 / 2.2% | HEAD 6% | TAIL 0% | B/ATR 0.7
2009-09-08 | Bull | 25.06 / 0.8% | HEAD 26% | TAIL 132% | B/ATR 0.3
2009-09-09 | Bull | 25.14 / 0.4% | HEAD 127% | TAIL 245% | B/ATR 0.1
2009-09-10 | Bear | 25.0 / -0.6% | HEAD 133% | TAIL 100% | B/ATR 0.2
2009-09-11 | Bear | 24.39 / -2.2% | HEAD 5% | TAIL 16% | B/ATR 0.8
2009-09-14 | Bull | 24.76 / 2.1% | HEAD 21% | TAIL 0% | B/ATR 0.7
2009-09-15 | Bear | 24.83 / -0.2% | HEAD 183% | TAIL 317% | B/ATR 0.1
2009-09-16 | Bear | 24.13 / -3.0% | HEAD 0% | TAIL 17% | B/ATR 1.0
2009-09-17 | Bear | 23.6 / -2.1% | HEAD 20% | TAIL 0% | B/ATR 0.7
2009-09-18 | Bull | 24.06 / 1.1% | HEAD 56% | TAIL 63% | B/ATR 0.4
2009-09-21 | Bull | 23.97 / 0.0% | HEAD 2600% | TAIL 1500% | B/ATR 0.0
2009-09-22 | Bear | 23.76 / -1.8% | HEAD 0% | TAIL 43% | B/ATR 0.6
2009-09-23 | Bull | 24.05 / 0.7% | HEAD 312% | TAIL 19% | B/ATR 0.2
2009-09-24 | Bear | 23.57 / -2.1% | HEAD 14% | TAIL 22% | B/ATR 0.7
2009-09-25 | Bear | 23.35 / -0.3% | HEAD 486% | TAIL 283% | B/ATR 0.1
2009-09-28 | Bull | 23.91 / 1.7% | HEAD 66% | TAIL 20% | B/ATR 0.6
2009-09-29 | Bear | 23.55 / -1.7% | HEAD 100% | TAIL 9% | B/ATR 0.6
2009-09-30 | Bull | 23.69 / 0.1% | HEAD 2150% | TAIL 1000% | B/ATR 0.0
2009-10-01 | Bear | 22.65 / -3.7% | HEAD 25% | TAIL 6% | B/ATR 1.2
2009-10-02 | Bull | 22.49 / 0.2% | HEAD 700% | TAIL 475% | B/ATR 0.1
2009-10-05 | Bull | 22.6 / 0.0% | HEAD 3300% | TAIL 1000% | B/ATR 0.0
2009-10-06 | Bull | 23.1 / 1.1% | HEAD 56% | TAIL 24% | B/ATR 0.4
2009-10-07 | Bear | 22.82 / -0.7% | HEAD 71% | TAIL 88% | B/ATR 0.2
2009-10-08 | Bear | 22.53 / -1.7% | HEAD 0% | TAIL 68% | B/ATR 0.6
2009-10-09 | Bull | 23.64 / 5.2% | HEAD 1% | TAIL 0% | B/ATR 1.7
2009-10-12 | Bull | 23.8 / 0.4% | HEAD 567% | TAIL 133% | B/ATR 0.1
2009-10-13 | Bear | 23.62 / -1.2% | HEAD 38% | TAIL 55% | B/ATR 0.4
2009-10-14 | Bear | 23.62 / -1.7% | HEAD 13% | TAIL 68% | B/ATR 0.6
2009-10-15 | Bear | 23.25 / -0.6% | HEAD 50% | TAIL 86% | B/ATR 0.2
2009-10-16 | Bear | 22.75 / -1.6% | HEAD 0% | TAIL 57% | B/ATR 0.5
2009-10-19 | Bull | 23.52 / 2.3% | HEAD 6% | TAIL 21% | B/ATR 0.8
2009-10-20 | Bear | 23.66 / -1.9% | HEAD 0% | TAIL 33% | B/ATR 0.7
2009-10-21 | Bear | 23.0 / -2.7% | HEAD 22% | TAIL 23% | B/ATR 0.9
2009-10-22 | Bull | 23.88 / 4.4% | HEAD 4% | TAIL 0% | B/ATR 1.5
2009-10-23 | Bear | 23.5 / -2.1% | HEAD 0% | TAIL 24% | B/ATR 0.7
2009-10-26 | Bull | 23.7 / 1.4% | HEAD 81% | TAIL 23% | B/ATR 0.5
2009-10-27 | Bear | 23.8 / -1.0% | HEAD 139% | TAIL 48% | B/ATR 0.3
2009-10-28 | Bear | 23.44 / -2.0% | HEAD 129% | TAIL 6% | B/ATR 0.7
2009-10-29 | Bull | 23.92 / 1.4% | HEAD 3% | TAIL 59% | B/ATR 0.5
2009-10-30 | Bear | 23.45 / -2.7% | HEAD 14% | TAIL 11% | B/ATR 0.9
2009-11-02 | Bull | 23.45 / 0.3% | HEAD 229% | TAIL 486% | B/ATR 0.1
2009-11-03 | Bull | 23.47 / 1.1% | HEAD 68% | TAIL 84% | B/ATR 0.4
2009-11-04 | Bear | 23.57 / -0.9% | HEAD 95% | TAIL 18% | B/ATR 0.3
2009-11-05 | Bull | 24.18 / 1.6% | HEAD 34% | TAIL 39% | B/ATR 0.6
2009-11-06 | Bear | 24.04 / -0.1% | HEAD 2100% | TAIL 550% | B/ATR 0.0
2009-11-09 | Bull | 24.63 / 2.0% | HEAD 17% | TAIL 25% | B/ATR 0.7
2009-11-10 | Bull | 25.05 / 1.8% | HEAD 49% | TAIL 4% | B/ATR 0.7
2009-11-11 | Bull | 25.33 / 0.7% | HEAD 200% | TAIL 11% | B/ATR 0.3
2009-11-12 | Bull | 25.37 / 0.4% | HEAD 436% | TAIL 64% | B/ATR 0.2
2009-11-13 | Bull | 25.44 / 0.0% | HEAD 2400% | TAIL 2000% | B/ATR 0.0
2009-11-16 | Bull | 25.95 / 1.5% | HEAD 34% | TAIL 13% | B/ATR 0.6
2009-11-17 | Bull | 25.87 / 0.2% | HEAD 200% | TAIL 500% | B/ATR 0.1
2009-11-18 | Bear | 25.75 / -0.3% | HEAD 138% | TAIL 341% | B/ATR 0.1
2009-11-19 | Bull | 24.88 / 0.3% | HEAD 100% | TAIL 438% | B/ATR 0.1
2009-11-20 | Bear | 24.74 / -0.0% | HEAD 2500% | TAIL 900% | B/ATR 0.0
2009-11-23 | Bull | 25.14 / 0.8% | HEAD 119% | TAIL 19% | B/ATR 0.3
2009-11-24 | Bull | 25.28 / 0.4% | HEAD 260% | TAIL 40% | B/ATR 0.1
2009-11-25 | Bull | 25.42 / 0.3% | HEAD 37% | TAIL 200% | B/ATR 0.1
2009-11-27 | Bull | 25.25 / 1.8% | HEAD 33% | TAIL 53% | B/ATR 0.7
2009-11-30 | Bear | 25.29 / -0.2% | HEAD 67% | TAIL 433% | B/ATR 0.1
2009-12-01 | Bull | 25.94 / 1.5% | HEAD 23% | TAIL 67% | B/ATR 0.6
2009-12-02 | Bear | 25.96 / -0.2% | HEAD 640% | TAIL 480% | B/ATR 0.1
2009-12-03 | Bull | 26.44 / 1.5% | HEAD 63% | TAIL 16% | B/ATR 0.6
2009-12-04 | Bull | 26.85 / 0.4% | HEAD 136% | TAIL 364% | B/ATR 0.2
2009-12-07 | Bear | 26.62 / -0.3% | HEAD 322% | TAIL 211% | B/ATR 0.1
2009-12-08 | Bear | 26.33 / -1.5% | HEAD 46% | TAIL 310% | B/ATR 0.6
2009-12-09 | Bull | 25.99 / 0.9% | HEAD 0% | TAIL 109% | B/ATR 0.3
2009-12-10 | Bear | 25.94 / -0.5% | HEAD 79% | TAIL 286% | B/ATR 0.2
2009-12-11 | Bear | 25.64 / -1.0% | HEAD 62% | TAIL 54% | B/ATR 0.4
2009-12-14 | Bull | 25.98 / 0.9% | HEAD 41% | TAIL 30% | B/ATR 0.3
2009-12-15 | Bear | 25.44 / -1.7% | HEAD 2% | TAIL 9% | B/ATR 0.6
2009-12-16 | Bull | 25.58 / 0.0% | HEAD 5000% | TAIL 1300% | B/ATR 0.0
2009-12-17 | Bear | 25.08 / -1.0% | HEAD 108% | TAIL 8% | B/ATR 0.4
2009-12-18 | Bull | 25.46 / 0.4% | HEAD 80% | TAIL 300% | B/ATR 0.1
2009-12-21 | Bull | 25.84 / 0.5% | HEAD 115% | TAIL 146% | B/ATR 0.2
2009-12-22 | Bear | 25.64 / -0.9% | HEAD 61% | TAIL 35% | B/ATR 0.3
2009-12-23 | Bear | 25.32 / -0.5% | HEAD 150% | TAIL 42% | B/ATR 0.2
2009-12-24 | Bull | 25.83 / 1.9% | HEAD 4% | TAIL 9% | B/ATR 0.7
2009-12-28 | Bear | 25.49 / -1.1% | HEAD 21% | TAIL 52% | B/ATR 0.4
2009-12-29 | Bear | 25.37 / -0.5% | HEAD 57% | TAIL 64% | B/ATR 0.2
2009-12-30 | Bull | 25.98 / 2.2% | HEAD 0% | TAIL 20% | B/ATR 0.8
2009-12-31 | Bull | 26.06 / 0.4% | HEAD 191% | TAIL 9% | B/ATR 0.2
2010-01-04 | Bear | 26.01 / -0.7% | HEAD 216% | TAIL 63% | B/ATR 0.3
2010-01-05 | Bear | 25.86 / -0.3% | HEAD 389% | TAIL 178% | B/ATR 0.1
2010-01-06 | Bear | 25.67 / -0.9% | HEAD 57% | TAIL 48% | B/ATR 0.3
2010-01-07 | Bull | 25.75 / 0.6% | HEAD 60% | TAIL 160% | B/ATR 0.2
2010-01-08 | Bull | 26.34 / 2.9% | HEAD 0% | TAIL 11% | B/ATR 1.1
2010-01-11 | Bear | 26.0 / -1.3% | HEAD 44% | TAIL 82% | B/ATR 0.5
2010-01-12 | Bear | 24.91 / -4.3% | HEAD 1% | TAIL 22% | B/ATR 1.7
2010-01-13 | Bull | 25.02 / 0.0% | HEAD 1400% | TAIL 3400% | B/ATR 0.0
2010-01-14 | Bear | 24.71 / -0.7% | HEAD 61% | TAIL 128% | B/ATR 0.3
2010-01-15 | Bear | 24.5 / -0.7% | HEAD 50% | TAIL 167% | B/ATR 0.3
2010-01-19 | Bull | 24.72 / 1.1% | HEAD 22% | TAIL 37% | B/ATR 0.4
2010-01-20 | Bull | 24.55 / 0.1% | HEAD 200% | TAIL 1067% | B/ATR 0.0
2010-01-21 | Bear | 24.18 / -1.5% | HEAD 89% | TAIL 46% | B/ATR 0.6
2010-01-22 | Bear | 23.11 / -4.1% | HEAD 7% | TAIL 11% | B/ATR 1.5
2010-01-25 | Bull | 23.69 / 1.2% | HEAD 46% | TAIL 75% | B/ATR 0.4
2010-01-26 | Bear | 23.35 / -0.2% | HEAD 1275% | TAIL 150% | B/ATR 0.1
2010-01-27 | Bull | 23.35 / 0.0% | HEAD 0% | TAIL 0% | B/ATR 0.0
2010-01-28 | Bear | 23.05 / -1.7% | HEAD 12% | TAIL 88% | B/ATR 0.6
2010-01-29 | Bear | 22.5 / -2.6% | HEAD 43% | TAIL 36% | B/ATR 0.9
2010-02-01 | Bull | 23.05 / 2.2% | HEAD 6% | TAIL 0% | B/ATR 0.7
2010-02-02 | Bull | 23.31 / 1.5% | HEAD 18% | TAIL 9% | B/ATR 0.5
2010-02-03 | Bear | 23.2 / -0.3% | HEAD 100% | TAIL 450% | B/ATR 0.1
2010-02-04 | Bear | 22.59 / -1.8% | HEAD 0% | TAIL 45% | B/ATR 0.6
2010-02-05 | Bull | 22.97 / 1.9% | HEAD 38% | TAIL 12% | B/ATR 0.6
2010-02-08 | Bull | 23.1 / 0.4% | HEAD 270% | TAIL 300% | B/ATR 0.2
2010-02-09 | Bull | 23.38 / 0.2% | HEAD 560% | TAIL 120% | B/ATR 0.1
2010-02-10 | Bull | 23.44 / 0.2% | HEAD 280% | TAIL 498% | B/ATR 0.1
2010-02-11 | Bull | 23.77 / 1.5% | HEAD 68% | TAIL 38% | B/ATR 0.5
2010-02-12 | Bull | 24.03 / 2.1% | HEAD 49% | TAIL 29% | B/ATR 0.8
2010-02-16 | Bull | 24.79 / 2.7% | HEAD 14% | TAIL 0% | B/ATR 1.0
2010-02-17 | Bear | 24.71 / -0.6% | HEAD 73% | TAIL 273% | B/ATR 0.2
2010-02-18 | Bull | 24.83 / 0.7% | HEAD 17% | TAIL 147% | B/ATR 0.3
2010-02-19 | Bull | 25.01 / 0.8% | HEAD 24% | TAIL 100% | B/ATR 0.3
2010-02-22 | Bear | 24.73 / -1.2% | HEAD 45% | TAIL 38% | B/ATR 0.4
2010-02-23 | Bear | 24.3 / -1.5% | HEAD 14% | TAIL 65% | B/ATR 0.6
2010-02-24 | Bull | 24.75 / 0.9% | HEAD 114% | TAIL 23% | B/ATR 0.3
